id,id_source,retries,type,delay_time_rules,last_data_date,from_date,to_date,platform,createdBy,title
260016723863215_122185914434251160,fb_260016723863215,0,2,,2024-04-10T08:23:42.823Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,Drama nổi lên: Kim
105587125778801_655965440740490,fb_105587125778801,0,2,,2024-04-10T08:23:42.957Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,Sale buổi cuối các
229378073894785_1190752006197276,fb_229378073894785,0,2,,2024-04-10T08:23:42.999Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,Chúng ta đã cùng
345931238849136_673428288646626,fb_345931238849136,0,2,,2024-04-10T08:23:43.064Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,#9244 Nguyên 8a1 mập
1502551873371015_1280128100447282,fb_1502551873371015,0,2,,2024-04-10T08:23:43.149Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,NHỮNG THÓI QUEN GIÚP
457948054269660_1070820508398124,fb_457948054269660,0,2,,2024-04-10T08:23:43.216Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,Đã quá nản với
101397985281253_1074616254690431,fb_101397985281253,0,2,,2024-04-10T08:23:43.277Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,TÂM SINH LÝ CỦA BÉ
153397221917013_973701491600413,fb_153397221917013,0,2,,2024-04-10T08:23:43.361Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,Ngay lúc này gần 1M
494764733876467_1209389004529642,fb_494764733876467,0,2,,2024-04-10T08:23:43.447Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,💙 𝐅𝐄𝐄𝐃𝐁𝐀𝐂𝐊 𝐎𝐂𝐄𝐀𝐍 𝐄𝐃𝐔
103681348728385_652238670743350,fb_103681348728385,0,2,,2024-04-10T08:23:43.532Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,CỐ GẮNG LÀM TỐT HƠN
484335104772597_122120110598759283,fb_484335104772597,0,2,,2024-04-10T08:23:43.594Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,"FuIl () Kiếp trước,"
1251554968338850_983682183863944,fb_1251554968338850,0,2,,2024-04-10T08:23:43.661Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,Pháo tung tin nhắn
228458913833525_1072385294927747,fb_228458913833525,0,2,,2024-04-10T08:23:43.745Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,BA TRẬN ĐỘNG ĐẤT
659224374172694_1131870952072072,fb_659224374172694,0,2,,2024-04-10T08:23:43.812Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,"Đá ném xuống nước,"
461928720494456_984231760481650,fb_461928720494456,0,2,,2024-04-10T08:23:43.862Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,‼️HƯỚNG DẪN CHI TIẾT
112116718181463_654599573977022,fb_112116718181463,0,2,,2024-04-10T08:23:43.906Z,1712737423,1744273423,1,PageWebCommentCrawlingLoader,Theqoo: KOL người
122047940995329_122217054050037733,fb_122047940995329,0,2,,2024-04-10T08:23:44.046Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,CHÚNG TA CÓ THỂ BỊ
110397535239310_640822718874935,fb_110397535239310,0,2,,2024-04-10T08:23:44.128Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,🌟 TUYỂN DỤNG GẤP –
619493094577128_122113067756796451,fb_619493094577128,0,2,,2024-04-10T08:23:44.197Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,🌟 KHÁM PHÁ TIỀM NĂNG
110384388525491_635528382700039,fb_110384388525491,0,2,,2024-04-10T08:23:44.241Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,10 lý do tại sao
114291416694520_1188165086457696,fb_114291416694520,0,2,,2024-04-10T08:23:44.308Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,🏃‍♂️ Đặt vé để đến với
109623948257444_689462216949854,fb_109623948257444,0,2,,2024-04-10T08:23:44.367Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,PHƯỜNG 15 TỔ CHỨC
628354263686543_122114648762799900,fb_628354263686543,0,2,,2024-04-10T08:23:44.424Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,📣📣📣TIẾP TỤC TUYỂN
1290684834301417_1056836799808180,fb_1290684834301417,0,2,,2024-04-10T08:23:44.483Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,🌹 THẾ NÀO GỌI LÀ
228458913833525_1080866807412929,fb_228458913833525,0,2,,2024-04-10T08:23:44.577Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,"ÁP THUẾ TOÀN CẦU,"
319794105571937_1102475838565200,fb_319794105571937,0,2,,2024-04-10T08:23:44.653Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,C;ứu cô gái gặp nạn
831962000469612_1206045854224254,fb_831962000469612,0,2,,2024-04-10T08:23:44.776Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,Đại diện Sở VH&TT
2117731595156251_694047749639234,fb_2117731595156251,0,2,,2024-04-10T08:23:44.885Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,Làm thế nào để có vẻ
300970727156036_670345732170398,fb_300970727156036,0,2,,2024-04-10T08:23:44.993Z,1712737424,1744273424,1,PageWebCommentCrawlingLoader,Sáng ngày 31 tháng 3
466461833379932_974907008092286,fb_466461833379932,0,2,,2024-04-10T08:23:45.102Z,1712737425,1744273425,1,PageWebCommentCrawlingLoader,ĐỜI CHÓ HOANG  Tụi
1606974202935316_1080394560789485,fb_1606974202935316,0,2,,2024-04-10T08:23:45.171Z,1712737425,1744273425,1,PageWebCommentCrawlingLoader,✨ THÍ SINH NGUYỄN
