id,fullname,platform,fb_user_type,id_social,domain,created_date,createdBy
fb_100003126409140,Hồng Huế,1,255,100003126409140,facebook.com,2025-05-06T04:22:21.913Z,PageWebReplyCommentCrawlingLoader
fb_100004000288119,Mỹ Thuận,1,255,100004000288119,facebook.com,2025-05-03T04:05:23.018Z,PageWebCommentCrawlingLoader
tt_MS4wLjABAAAAcGb7fiz9WGH-6AR71xt50InU_yFERchgssRczg2ZpOJIOlA8fsI9MQc55_iwseJK,Hỏi_Trả Lời BV Da liễu_Mắt,9,,MS4wLjABAAAAcGb7fiz9WGH-6AR71xt50InU_yFERchgssRczg2ZpOJIOlA8fsI9MQc55_iwseJK,tiktok.com,2025-04-29T09:14:42.902Z,
tt_MS4wLjABAAAA8uHvNGo9g7JVLXusd_QxsHUqPWOPFql-8n76NtTEZRuw3-jfkC8ZrDYv7aYnv9kg,Bao Gold Pham,9,,MS4wLjABAAAA8uHvNGo9g7JVLXusd_QxsHUqPWOPFql-8n76NtTEZRuw3-jfkC8ZrDYv7aYnv9kg,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100064806603692,Dinh Hội Babymart Thái Bình,1,255,100064806603692,facebook.com,2025-05-06T04:22:21.832Z,PageWebReplyCommentCrawlingLoader
fb_100064171292210,CuteBaby - Chuyên đồ mẹ và bé,1,255,100064171292210,facebook.com,2025-05-06T04:22:21.032Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAAhHYP5IF_NkOzOLASO4MybflaKRlr0BURyMst1OzVvJ7JN8Wh8n_fsPeuDXD3Ojkt,BHD Star Cineplex,9,,MS4wLjABAAAAhHYP5IF_NkOzOLASO4MybflaKRlr0BURyMst1OzVvJ7JN8Wh8n_fsPeuDXD3Ojkt,tiktok.com,2025-04-03T09:47:24.200Z,
fb_100046952530101,Linh Vu,1,255,100046952530101,facebook.com,2025-05-05T08:07:13.630Z,PageWebCommentCrawlingLoader
fb_100092859333852,Hệ Thống Sữa - Bỉm Hà Hùng,1,255,100092859333852,facebook.com,2025-05-06T04:22:23.426Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAABRKlyfZmWjO79RId_UAHDuwmewsyL0ttfJZTJh9-eeDSSD4oYOmfL9hCWMHZ7nvY,Dược sĩ Tuyết Trâm,9,,MS4wLjABAAAABRKlyfZmWjO79RId_UAHDuwmewsyL0ttfJZTJh9-eeDSSD4oYOmfL9hCWMHZ7nvY,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100004535712467,Minh Nguyễn,1,255,100004535712467,facebook.com,2025-05-06T04:22:22.071Z,PageWebCommentCrawlingLoader
fb_100067868055357,Vườn Của Bé - Hệ thống siêu thị mẹ và bé,1,255,100067868055357,facebook.com,2025-05-03T20:04:50.319Z,PageWebReplyCommentCrawlingLoader
fb_100009074470890,Anh Ngoc,1,255,100009074470890,facebook.com,2025-05-06T04:22:23.798Z,PageWebReplyCommentCrawlingLoader
fb_100064846534529,Sữa Bột Tốt - Suabottot.com,1,255,100064846534529,facebook.com,2025-05-06T04:22:21.913Z,PageWebReplyCommentCrawlingLoader
fb_100063770521383,Ngộ Baby Shop,1,255,100063770521383,facebook.com,2025-04-30T10:37:25.047Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAA82j9GqGaJWKNurvrFZ0RHe_9hZX0OcNgH0-YDhy2SPKGjPYfJscwdy-iyIetdZFO,Đi Theo Sao,9,,MS4wLjABAAAA82j9GqGaJWKNurvrFZ0RHe_9hZX0OcNgH0-YDhy2SPKGjPYfJscwdy-iyIetdZFO,tiktok.com,2025-04-03T09:47:24.200Z,
fb_100063806132304,Nhà Thuốc Lê Thanh,1,255,100063806132304,facebook.com,2025-05-06T04:22:23.162Z,PageWebReplyCommentCrawlingLoader
