id,reply_updated_at,last_status,platform,reply_last_date,reply_next_crawl_time,createdBy,post_updated_at,post_last_date,next_crawl_time
tr_1150118177,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213082,2025-05-12T02:53:30.000Z,2025-05-14T12:58:02.352Z
tr_1318853638,1747213074,0,10,2025-01-30T23:52:12.000Z,2025-05-15T16:57:54.628Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1498399576,1747213094,0,10,2025-03-31T05:16:18.000Z,2025-05-14T20:58:14.277Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1498867948,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747214064,2024-09-04T11:52:35.000Z,2025-05-15T17:14:24.747Z
tr_1181078248,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213447,2024-05-14T08:39:46.715Z,2025-05-15T17:04:07.163Z
tr_1489123585,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213489,2024-05-14T08:39:46.715Z,2025-05-15T17:04:49.692Z
tr_1222833966,1747213543,0,10,2024-12-07T22:21:08.000Z,2025-05-15T17:05:43.024Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1450399856,1747212973,0,10,2025-05-11T16:57:25.000Z,2025-05-14T12:56:13.533Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1115668894,1747213522,0,10,2025-01-31T12:30:05.000Z,2025-05-15T17:05:22.859Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1480176017,1747213810,0,10,2025-05-06T14:21:11.000Z,2025-05-14T13:10:10.963Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1309529101,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213204,2024-08-23T15:26:04.000Z,2025-05-15T17:00:04.190Z
tr_13303027688,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213509,2024-08-17T15:35:46.000Z,2025-05-15T17:05:09.735Z
tr_1472305886,1747212954,0,10,2024-10-21T03:23:05.000Z,2025-05-15T16:55:54.712Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1501118179,1747213420,0,10,2024-05-14T08:39:35.053Z,2025-05-15T17:03:40.750Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1464299796,1747213476,0,10,2025-02-21T13:57:51.000Z,2025-05-15T03:04:36.539Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12594204344,1747212811,0,10,2024-05-14T08:39:33.836Z,2025-05-15T16:53:31.133Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1477812274,1747212967,0,10,2025-05-08T15:57:01.000Z,2025-05-14T12:56:07.790Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1181064927,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213536,2024-05-14T08:39:46.716Z,2025-05-15T17:05:36.860Z
tr_11799069723,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213303,2024-05-14T08:39:46.714Z,2025-05-15T17:01:43.486Z
tr_1265808310,1747213868,0,10,2025-03-22T04:58:20.000Z,2025-05-14T21:11:08.490Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1482766629,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747212922,2024-09-28T07:25:11.000Z,2025-05-15T16:55:22.961Z
tr_1491675856,1747213216,0,10,2025-04-30T06:52:53.000Z,2025-05-14T13:00:16.455Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_12963147908,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747212808,2025-04-02T18:14:54.000Z,2025-05-14T20:53:28.334Z
tr_1220205406,1747213640,0,10,2025-03-18T14:13:52.000Z,2025-05-14T21:07:20.097Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1113626173,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747212824,2024-05-14T08:39:45.411Z,2025-05-15T16:53:44.094Z
tr_1489615950,1747214199,0,10,2024-06-13T16:52:35.000Z,2025-05-15T17:16:39.500Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1313803998,1747213717,0,10,2025-01-13T22:20:51.000Z,2025-05-15T17:08:37.913Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1510963553,1747213937,0,10,2024-05-14T08:39:36.344Z,2025-05-15T17:12:17.053Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1490733798,1747213660,0,10,2024-10-22T06:02:06.000Z,2025-05-15T17:07:40.143Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_11954645489,1747212662,0,10,2025-03-28T10:30:47.000Z,2025-05-14T20:51:02.701Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
