id,mapping_id,fullname,platform,link,id_social,created_date,domain,createdBy
tr_68730273674,tr_68730273674,tnhi.depgaii,10,threads.net/@tnhi.depgaii,68730273674,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63284195489,tr_63284195489,iam_ngoznhyz,10,threads.net/@iam_ngoznhyz,63284195489,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_72722910044,tr_72722910044,_ttien.qtpe_,10,threads.net/@_ttien.qtpe_,72722910044,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75714234087,tr_75714234087,ihongn_,10,threads.net/@ihongn_,75714234087,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75728960997,tr_75728960997,lucasnguyenn_12,10,threads.net/@lucasnguyenn_12,75728960997,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_67626712639,tr_67626712639,deptrainhatmeta,10,threads.net/@deptrainhatmeta,67626712639,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_74998434139,tr_74998434139,btxaukiu,10,threads.net/@btxaukiu,74998434139,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_64020693495,tr_64020693495,kkngann._,10,threads.net/@kkngann._,64020693495,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75893304876,tr_75893304876,lananh762025,10,threads.net/@lananh762025,75893304876,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75690124865,tr_75690124865,ceyy21696,10,threads.net/@ceyy21696,75690124865,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_66888365026,tr_66888365026,_ine.nhiee_,10,threads.net/@_ine.nhiee_,66888365026,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75519750873,tr_75519750873,natran_daayy,10,threads.net/@natran_daayy,75519750873,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_75191899566,tr_75191899566,buzchux,10,threads.net/@buzchux,75191899566,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_73520693844,tr_73520693844,natsu_11vy,10,threads.net/@natsu_11vy,73520693844,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
